,source,target,y2030,y2040,y2050,polygon,technology,scenario
224,hydrocarbons,transport,32.65157247844645,47.30767095141126,60.92996149766517,ES,HC_aviation_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
225,hydrocarbons,transport,18.805344882016634,34.09866502771905,42.304322868075545,FR,HC_aviation_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
226,hydrocarbons,transport,2.8022446762581787,3.0900927443049877,4.0948773160885485,PT,HC_aviation_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
227,hydrocarbons,transport,8.567548779798214,6.327515810417008,0.0,ES,HC_bus-diesel_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
228,hydrocarbons,transport,12.296428009932642,4.995423879035136,0.0,FR,HC_bus-diesel_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
229,hydrocarbons,transport,2.288991624408546,1.5906551966228877,0.17458410694641452,PT,HC_bus-diesel_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
230,hydrocarbons,transport,0.020861240720922724,0.0,0.0,ES,HC_bus-gasoline_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
231,hydrocarbons,transport,0.5572156494410505,0.0,0.0,ES,HC_car-LPG_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
232,hydrocarbons,transport,12.209565220193152,23.81874868930474,0.0,FR,HC_car-LPG_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
233,hydrocarbons,transport,0.20575808988018135,0.0,0.0,PT,HC_car-LPG_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
234,hydrocarbons,transport,102.89059983542606,23.37723774837536,0.0,ES,HC_car-diesel_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
235,hydrocarbons,transport,134.4650066725922,18.234061711442838,0.0,FR,HC_car-diesel_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
236,hydrocarbons,transport,15.651960587288281,0.0,0.0,PT,HC_car-diesel_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
237,hydrocarbons,transport,43.567319444666175,42.26238077387488,0.0,ES,HC_car-gasoline_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
238,hydrocarbons,transport,58.457710216152236,45.03326590780422,0.0,FR,HC_car-gasoline_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
239,hydrocarbons,transport,11.284002527739666,13.833902410871662,1.2461576186024426,PT,HC_car-gasoline_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
240,hydrocarbons,transport,73.0890574963648,86.7250645596734,127.08760570904643,ES,HC_int-aviation_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
241,hydrocarbons,transport,79.71562615955982,129.7067647011395,145.92008544001914,FR,HC_int-aviation_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
242,hydrocarbons,transport,21.666431428538523,23.38099606037812,36.78610841993232,PT,HC_int-aviation_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
243,hydrocarbons,transport,92.00771273665953,135.90742557028042,191.93701225757138,ES,HC_int-maritime_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
244,hydrocarbons,transport,26.641054342100247,35.24409359683902,50.866709546905774,FR,HC_int-maritime_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
245,hydrocarbons,transport,10.99816180160479,14.557498582252657,21.262191755628866,PT,HC_int-maritime_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
246,hydrocarbons,transport,14.445977334894742,18.013365114683424,27.290899186330233,ES,HC_maritime_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
247,hydrocarbons,transport,6.030297751519304,8.775390273382827,13.214770836657234,FR,HC_maritime_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
248,hydrocarbons,transport,1.4716431268995354,2.104093837183322,2.607629166162995,PT,HC_maritime_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
